Title,Unit(grams),Price(NRs)
White Dried Peas (Seto Kerau)-,1000.0,180.00
Raisins KisMis (Dakh) Dried Grapes,100.0,75.00
Walnut Kernels (Gudi),500.0,720.00
Nepali Farmer Homemade Timur Chop Achar -,110.0,331
Gyan Basmati Rice Premium,20000.0,2949.00
Dates (Chokra),1000.0,500.00
Poshilo Nutty Delight Satu  (Local Sattu),800.0,352.00
Chia Seeds ( Chia Seed / Healthy Supper Food ) -,1000.0,980.00
Maas Daal,2000.0,420.00
Anjir Madhuram Fresh Dry Figs,500.0,1115.00
Moong Dal Khichadi-,200.0,900.00
"Big Choice Maas Chhata Daal,",1000.0,236.00
Local Kidney Beans,,260.00
Dry Fruits (Yellow Dates),500.0,375.00
Himalayan Food Products Himalayan Buff Sukuti Com Chum With Timur,33.0,100.00
Puja samagari:-Dry Coconut /Nariwal  (For Puja),200.0,125.00
Harlal's Unique Broken  Wallnut,200.0,476.00
Dry Fruits ( Cashew Nuts),250.0,425
A-One Sweets Traditional Rasgulla Mithai  -,1000.0,290.00
Shrimann Mix Dal -,1000.0,177.00
Mummas Buff Achar,300.0,684
White Maize,,110.00
Seaweed 3.,5.0,180.00
Bikaji Papad Bc,180.0,130.00
Dry Black Raisin  With Seed Kismis,1000.0,1100.00
Swaadilo Chicken Achar -,300.0,800.00
California Badam Almonds Desi Badam,200.0,280.00
Pintola Peanut Butter All Natural Crunchy,1000.0,795.00
Brown Rice Pokhreli-,1000.0,110.00
Mix Satu,700.0,350.00
"Chia Seeds - , Pumpkin Seeds - , Sunflower Seeds - , Flaxseeds -",200.0,710.00
True Elements Rolled Oats,500.0,360.00
Paicho Mix Pickle,400.0,165.00
Dry Coconut (Singo Nariwal) -,200.0,160.00
Millet Pancake Mix : Banana Chocochip & Supergrains -,150.0,450.00
Indian Cashew Direct Imported From India,1000.0,1650.00
"Vegan Dairy Nepal Parmesan - Vegan, Cheese seasoning, Plant based,",100.0,570.00
Mummas Lemon & Dalle Khusani Mix Achar,300.0,284
Sathu Maavu 100% Natural Porridge Mix -,200.0,1000.00
"Date Crown Fard Dates,",500.0,400.00
Marsi Rice,1000.0,270.00
Rato Khursani ra Lasun ko Achar (Homemade Dried Red Chili and Garlic Pickle) -  - Lotus Products,200.0,225.00
Walnut Kernels (Gudi),200.0,304
Divella Spaghetti Risorante 8  [ Durum Wheat | Semolina Pasta | Macaroni Product | Product of Italy ],500.0,349.00
Almond Nuts (Badam)-,500.0,700.00
White Dried Peas (Seto Kerau)-,2000.0,320.00
New Season Anjir / Anjeer / Fig / -,500.0,1150.00
Raisins KisMis (Dakh) Dried Grapes,500.0,300.00
Makhana  Packet / Mixed Size,250.0,280.00
India Gate Super Rozzana Rice,5000.0,1085.00
Peanuts,1000.0,299.00
"Broken Cashew Nut -  / Tukda Kaju / Tukda Kaju /  -  ( Not As Regular Cashew , Only For Sweets )",1000.0,1350.00
Quality Checked Organic Aalas For Veg Mixing And Achar Pack Of,500.0,237
Wallnut,1000.0,712
Dhiki Jato Local Seto Bhatmas,1000.0,220.00
Chhurpi  Dried Cheese),50.0,95.00
Laxmi Mix Nut 3 In 1,100.0,255.00
Dry Black Raisin (Kalo Dakh)-,500.0,551
Kismis raisin,500.0,325.00
Rashilo Solu Raw Corn,1000.0,140.00
Himalayan Food Products Himalayan Timur Buff Sukuti Ko Chhop,1000.0,1180.00
Mato Walnut Peeled (Okhar) -,200.0,465.00
Mishri,1000.0,180.00
Anjeer  ( Dried Fig / Anjeer ) -,100.0,240.00
Mummas Fermented Khalpi Achar (),500.0,474
Kombu Sea Weed -,45.0,685.00
Indian Cashew Nuts (Kaju),200.0,380.00
Taichin Chamal,1000.0,185.00
Knorr Classic Mixed Vegetable Soup,40.0,105.00
"Laxmi Almond,",200.0,368.00
Rijal Agro Hot & Sweet Lapsi Pickle,380.0,166.00
Dried Figs (Angeer),500.0,1100.00
Sagarmatha Lemon Pickle,200.0,65.00
Ghar Ko Achar Lemon Achar,350.0,400.00
Sagarmatha Mixed Pickle -,385.0,152.00
Poshak Satu,,300.00
Fresh Raisins (Kismis) -,1000.0,630.00
Almond Nuts,100.0,140.00
Walnut [Okhar] (Best Choice),1000.0,700.00
Berlino Pasta Penne,400.0,140.00
Madhuram Classic Walnuts/Okhar Without Shell | Dry Fruits Nuts |,250.0,490.00
Khajur/ Fresh Dates -  / Kimia Gold Brand,500.0,480.00
Jumla Marsi Rice,1000.0,280.00
Jumla Beans (Mix Lentil)-,1000.0,300.00
Wheat Grit,1000.0,160.00
Ferments  Garlic Pickle,190.0,400.00
Harlal's Unique Cashewnuts,400.0,976.00
Combo Pumpkin Seed -500Gm Sunflower Seed-  Packet,500.0,1100.00
cream of mushroom soup,,90.00
Fry Masala Namcham Sukuti Buff Dry Meat  - Spicy Sukuti,500.0,1249.00
Gyan Basmati Rice Premium -,5000.0,792.00
Dhiki Jato Local Moong Daal,1000.0,260.00
Date Crown Bumaan Dates -,500.0,380.00
Sara Foods Quinoa Processed -,800.0,807
Paura Buff Sukuti Achar,500.0,1050.00
Dried Fig (Anjeer)-,200.0,510.00
Dry fruits Kaju  Jumbo size,500.0,740.00
DhikiJato Proso Millet (Chino)-,1000.0,350.00
Ghaila Mansuli Rice-,25000.0,1700.00
Dhiki Jato  Kerau Daal,1000.0,240.00
Super Grow Almond,100.0,180.00
Cashews Nuts (kaju),1000.0,1600.00
Hazel Nut,200.0,580.00
Ghar Ko Achar Sprout Methi Achar,350.0,350.00
Chino Or Proso Millet Wonder Grains Of Nepal Gluten Free,200.0,198.00
Dry Fruit :- Cashew Nut,1000.0,1780.00
Dry Fruit:- Almond Nuts (Badam)-,1000.0,1555.00
Combo Kaju / Almond / Raisin Each 500 Gm  Total 1.,5000.0,1900.00
Puja Samagri-  Puja Supari (Betel Nuts)-,100.0,165.00
Sangalo Mutton Sukuti  - ( Mutton Jerky / Dried Mutton Meat ),500.0,2549.00
Homemade Deep Karela (Bitter Gourd),200.0,76
Plain Kanju (Cashew Nut ) Best Quality -,1000.0,1920.00
Godawari Pustakari Udhyog Gudpak,500.0,320.00
Harlal's Unique Yellow Raisins,200.0,174.00
Methi Tusa Tasty Pickle,,180.00
Pasteurized Pistachio Nut ( Pista ),100.0,230.00
Aadinath Pashupati Papad -,,96.00
Flax Seed Good Quality- ( Aalash),1000.0,450.00
Rice Bowl Premium Steam Jeera Masino Rice,25000.0,2000.00
Broken Walnut / Walnut Kernel -,1000.0,1650.00
Big Choice Local Masayang Dal,,185.00
KRITIZ KITCHEN- Gundruk Achar -,130.0,150.00
Homemade Deep Fenugreek Pickle (Methi Achar),200.0,76
Arsa Pack-  By Nirmala's Kitchen,,840.00
"Gerber, Grain & Grow, Puffs Sweet Potato, 8+ Months - 1.48 oz ()",42.0,1200.00
Marukome Quick Serve Instant Miso Soup Wakane Seaweed,216.0,850.00
Dried Fish Local,100.0,120.00
India Gate Basmati Rice,,174.00
Dry Red Raisin (Rato Dakh)-,100.0,135.00
Mummas Chicken Achar (),500.0,1187
"Macaroni Pasta  Made with Chickpea, Red Lentil & Brown Rice.",450.0,799.00
Ching's Schezwan Chutney,250.0,235.00
Tong Garden Honey Sunflowers,30.0,60.00
Cut Coconut - 500 Gm / Nariwal,500.0,480.00
Belgian Waffle - Chocolate Waffle Crisps,,210.00
Himalayan Food Products Pack Of 3 Himalayan Buff Sukuti Com Chum With Timur,33.0,300.00
Kaju Madhuram Fresh Cashew,500.0,925.00
Black Dates (Chokada),1000.0,675.00
Fox Nuts (Makhana)-,100.0,125.00
Gerber Grain & Grow Puffs Blueberry - 1.48 oz (),42.0,1200.00
Gundruk Tori (Mustard Leaf),200.0,240.00
JUAS Black Cumin Seed Powder,250.0,250.00
Walnut Without Shells / Okhar Gudi -,200.0,360.00
Dates Fresh / Khajur / Box Packing -,500.0,460.00
Walnut -okkhar,1000.0,700.00
Kimbap Kim Sheet (Nori Sheet) (Shusi Sheet) (),,750.00
Current's Cheese Balls & Stricks (3+3+3 = ),,450.00
Sita Sweet Mix Sattu,450.0,165.00
Walnut -  ( Grade A- Okhar),500.0,400.00
Pistachio,500.0,1350.00
Amazu Shoga Pink Pickled Sushi Ginger -,100.0,450.00
Raisins ( Kismis Black Raisins ) -,100.0,130.00
Haldirams Medium Masala Papad,170.0,115.00
"Organic Multigrain Puff Stick - Beetroot, Spinach & Strawberry",21.0,600.00
Cashew Nuts ( Kaju ),200.0,323
Roza Saradine In Tomato Sauce With Cumin,185.0,190.00
Chicken Bouillon (25*)-Box,4.0,175.00
Spaghetti Pasta  Made with Durum Wheat,400.0,799.00
Himalaya Great Foods Betel Nuts (Tukra Supari) -,50.0,120.00
Makhana,250.0,250.00
Homemade Deep Lapsi,200.0,76
Jumla Marsi Rice,5000.0,1400.00
Arksh Food Dami Crispy Puff (Nimki Flavor) - 150 gm (),,959.00
Kaki no Tane,,750.00
Dhiki Jato Rasuwa Seto Simi Dana,1000.0,280.00
Angan Sweets Mini Samosa  Crispy Savoury Snack,,285.00
Khattu Original Paun Titaura  | Bayar Dry Fruit Plum| Thailand | Laltern brand | Kim Seng Industrial| 100% Original,500.0,464.00
Kingbell Can Mushrooms,400.0,163.00
Dried Fig (Anjeer)-,500.0,1155.00
"Trekkers - Special Muesli  (more nuts,dry fruit)",400.0,190.00
Balaji Gold Kaaju,250.0,349.00
Maxipan Blue Berry Filling -,850.0,850.00
Haldiram's All In One,360.0,275.00
Rajma Beans,500.0,120.00
Guliyo Dakh ra Choharako Achar (Homemade Sweet Raisins & Dates Pickle Pickle) -  - Lotus Products,200.0,285.00
Cashewnut W320,1000.0,1500.00
Wallnut 1 Kg  / Okhar / Fresh Walnut -,1000.0,600.00
Walnut - 1. ( Grade A- Okhar),5000.0,855.00
Crown Dates -,500.0,550.00
Broken Cashew (Kaju),500.0,700.00
Musuro Whole Lentil,1000.0,270.00
Shrimann Rato Chiura,1000.0,218.00
"Reishi Mushroom,",100.0,1500.00
Dry Fruit:- Almond Nuts (Badam),500.0,775.00
Millet Pancake Mix : Chocolate & Supergrains -,150.0,450.00
Raunak High Protien Source  Nutritious Pure Organic Bodi-,500.0,85.00
Dhiki Brand Brown Rice,2000.0,260.00
Penne Pasta  Made with Durum Wheat,400.0,699.00
Mummas Tama & Dalle Khursani Mix Achar,300.0,284
Khajur 2 Packet /  * 2,200.0,280.00
Super Grow Cashew,200.0,540.00
Mato Kwati,1000.0,215.00
Gyan Premium Basmati Rice  PP Bag,10000.0,1350
Gundruk Rayo (Mustard Leaf),200.0,200.00
Peanuts - Raw Groundnuts - Badam -,1000.0,298.00
Jumla Kidney Beans,1000.0,300.00
Kaju Jumbo With Bokra  Roasted,1000.0,2300.00
Sagarmatha Green Chilli Pickle,200.0,65.00
Almond Nuts Madhuram Premium Quality,200.0,375.00
Sara Foods Dry Fig -,500.0,1250.00
Hiking Nut / Trail Food -,250.0,440.00
Gol Mol Oval Papad - Panipuri -,1000.0,240.00
Desna Piro Timur Chhop (Refill Pack)-,200.0,255.00
Gold Pani Puri Papad,1000.0,340.00
Makhana,500.0,500.00
Dry Fruit:- Walnut Kernels/Okhar Gudi,500.0,800.00
Ruchi Kheer Mix With Extra Nutrition -,200.0,180.00
Bhumi Nepal Black Raisin-,500.0,650.00
Organic Paradise Jumli Marsi Red Rice,1000.0,295.00
Anjir,200.0,360.00
Newari Shahi Pulao Basmati Rice -,5000.0,965.00
Best Quality Black Soyabean Nepali Kalo Bhatmas,500.0,155.00
Khajur/ Fresh Dates -,200.0,185.00
Apis Mango Tang Pickle,500.0,160.00
Anjeer ( Dried Fig / Anjeer ) -,500.0,1200.00
Desna Babaal Piro Dalle Achar (Akbare Pickle)-,380.0,450.00
Roza Mackerl In Tomato Sauce,155.0,155.00
Walnuts - Okhar Guddi (),500.0,925.00
Sutkeri Masala,500.0,1100.00
"Vegan Dairy Nepal 100% Pure Pineapple Honey, No Additives, Vegan Honey, Bee Free,",230.0,500.00
Premium Cashew Nuts,500.0,1170.00
Gyan Basmati Rice Premium -,5000.0,690.00
RIK Timur Chhop,,350.00
Madhuram Fresh Arabian Dates |  | Premium Quality,300.0,350.00
Yellow Aaju Foods Kaguno,5000.0,2070.00
Dry Fruits Combo:- Almond 200g/Cashew Nuts 200g/Green Raisins 200g/Pistachio 200g/Walnut,500.0,1560.00
Ceshew Nuts Kaju,500.0,820.00
Fry Masala Namcham Sukuti Buff Dry Meat  - Spicy Sukuti,200.0,519.00
Premium Pistachio,400.0,1183.00
Cashew Nuts (Kaju) Dry Fruits  - Dried Delights,500.0,925.00
Resins(Kismis) -,200.0,200.00
Homemade Deep Tama Achar Bamboo Shoot Pickle,200.0,76
Dhiki Jato Local Moong Dana,1000.0,240.00
Local Musuriko Dal,1000.0,185.00
Pintola Classic Creamy Peanut Butter,1000.0,695.00
Mango Sweet Pickle -,400.0,200.00
Wakame -,100.0,1150.00
Poshak Satu,500.0,165.00
Mato Rajma,1000.0,290.00
Pasta Maker Machine Stainless Steel Pasta Roller Machine Includes Pasta Cutter Hand Crank Lasagna Fresh Noodles for Home Kitchen (White),,1804
Cream of Tomato Soup,,90.00
BS Local Organic Junnelo Grains,5.0,200.00
Prawn Pickle -,200.0,300.00
Gerber Grain & Grow Puffs Banana - 1.48 oz (),42.0,1200.00
Walnut,500.0,332
Sidra macha-dried fish,200.0,250.00
Sidra macha kichki dried fish,200.0,280.00
"Mixed Vegetable, Tasty Pickle",,170.00
Resins(Kismis) -,1000.0,650.00
Kaju/Cashew Nuts,200.0,368.00
Walnut,500.0,330.00
Himalayan Food Products Pack Of 3 Himalayan Buff Sukuti Com Chum With Garlic,93.0,750.00
Lasun ko Ledo Achar (Homemade Garlic Pickle) -  - Lotus Products,200.0,325.00
Brown Aaju Foods Phapar Danna,1000.0,285.00
Dabur Chyawanprash,1000.0,600.00
Desna Chatkilo Mango Achar (Refill Pack) Amilo Aapko Pickle-,380.0,215.00
Fry Masala Namcham Sukuti Buff Dry Meat  - Spicy Sukuti,100.0,269.00
Bambino/Mushroom Soup Powder/,45.0,90.00
Druk Tomato Puree,850.0,234.00
Bakula ( Winsder Beans ),1000.0,280.00
Mato Almond (Badam) -,200.0,399.00
Himalayan Food Products Pack Of 3 Himalayan Fish Com Chum,40.0,150.00
Walnuts(Okhar) -,1000.0,900.00
Kathmandu Organics Local Mixed Daal,500.0,145.00
Bambino/Mixed Vegetable Soup Powder/,45.0,85.00
Laxmi Mix Nut 3 In 1,200.0,510.00
Radish Pickle -,475.0,175.00
Kaju/Cashew Nuts,500.0,920.00
Mung Khosta ( Green Gram Split Half ),1000.0,230.00
Khadeko Mula Achar ( Radish Pickle ),325.0,150.00
Bambino Mixed Vegetable Soup Powder,45.0,90.00
