Title,Unit(grams),Price(NRs)
IFB 30BRC2  Rotisserie Convection Microwave (Black),,29434
KONKA Chest Freezer  (KCF 227),,42000.00
SAMSUNG 192 Liters Single Door Refrigerator (RR20C20C/IM),2.0,27500.00
Electron Elvo-23 Electric 23L Oven -,,7990.00
SAMSUNG MC28H5023AK  Convection Microwave With Ceramic Cavity (Black),,27999.00
"Whirlpool Icemagic Powercool 200L Single Door Refrigerator , Sapphire Abyss ,  warranty )",,27000.00
Electron  Bst-807 Vacuum Cleaner -,,6990.00
X-AGE 32 Normal LED TV  Full HD,,14600
Whirlpool   Solo Microwave Oven,,10990.00
Electromax Gas Geyser 6L ( 2 Year Warranty) 921/922 Model ISO  Product save watter and electricity,,6480.00
"TCL 50"" 4K UHD Google Certified Android TV - 635",,71890.00
SAMSUNG CE77JD-QB   Convection Microwave with SlimFry™ & Curd Making,,25999.00
Whirlpool  Wmd-200 Sl  Single Door Refrigerator - (Grey),,24769.00
Godrej Microwave Oven 28 L - GME728CF,,23390.00
Mini Portable Stand Fan For Home and Office (Assorted Color),,399.00
Baltra Microvave Carnival,,10897
"Haier 49"" 4K Led Television, LE49F",,49990.00
Rechargeable Automatic Water Jar Pump,,599.00
SAMSUNG RR20C2Z226R/IM  Single Door Refrigerator with Stylish Grande Design (Flower Pattern Red),,32499.00
SAMSUNG RR20A274ACU -  Direct Cooling Single Door Refrigerator 2020 (Camellia Purple),,29499.00
LG Microwave 2400W 32 Ltrs. - MJEN,,40289
SAMSUNG  RT37C4521S8/IM - 345 Litres 5 In  Double Door Refrigerator -Silver,,70499.00
Whirlpool Neo 258LH Cls plus Athena Steel  245 L  Frost-Free Double Door Refrigerator,,44775.00
WHIRLPOOL 245 Litres Frost Free Double Door Refrigerator (NEO  PRM-Wine Chromium),,42099.00
Godrej Microwave Oven 23 Ltrs - GME523CF-Red Floral,,19490.00
Aura Microwave Oven 3 In 1 Convection -,,24200.00
Mi TV 5X - Smart TV ( 43 inch  ),,59999.00
Samsung  Rr20M282Zs8/Im  Single Door Refrigerator - Silver,,32499.00
IFB 30FRC2 -  Rotisserie Convection Microwave black,,30250.00
Rechargeable Electronic Jar Water Pump,,800.00
Electronic Jar Water Pump,,390.00
"VESTEL 32"" Inch Tempered Glass TV LED Television | IPS Panel | Dolby Sound | Full HD | Free wall mount |  Warranty",,14990.00
Rechargable Electronic Water Jar Dispenser,,550.00
"Rechargeable Electronic Jar Water Pump For House, Office, Shop And Many More",,390.00
"Electron Aroma Rice Cooker Straight Stainless Steel Body & Steamer Pot, 1.8 ltr, Model 6018SS, 700W, 240V~",,3435.00
Set of 2 - Usb Rechargeable Electric Water Dispenser Universal Drinking Water Pump Portable Water Bottle Pump,,664
Hitachi  Grill  Microwave Oven (  HMR-DG2312),,20824.00
SAMSUNG  RR20C2412S8/IM  Direct Cooling Single Door Refrigerator - Silver,,30499.00
Rechargable Electronic Water Jar Dispenser,,499.00
SAMSUNG RT28A3022GS - 253 Litres Frost Free Digital Inverter Double Door Refrigerator (Grey Silver)(),,45999.00
Wega  Black LED TV Double Glass,,13290.00
Philips  40Pfa4150/98  Led Tv -  (Black),,54900.00
Electron Whistle Electric Kettle  (Colour Assorted),,1760.00
Electron Water Dispenser Desk  (El-) White,,4200.00
NEW 2022 HITECH Malaysia 32HD3000  HD LED TV,,23799.00
SAMSUNG RT30K3342S8   Frost Free Digital Inverter Double Door Refrigerator (Inox Silver),,54499.00
KONKA Chest Freezer  (KCF 520),,78000.00
DHI DH-SDR2104SG/RF  Single Door Refrigerator,,27359
X-AGE 24 Normal LED TV  Full HD,,10200.00
LG Microwave 23 Ltrs. - MH,6336.0,23589
WHIRLPOOL Protton  Triple Door Frost Free Refrigerator (Alpha Steel),,55299.00
Amahi  Direct Cooling Single Door Mini Refrigerator (AMRSF-130J),,16400
KONKA 32 Inch HD LED TV (KE316),,20400
Electron Elvo-19 Electric Oven  - (Black),,6790.00
WHIRLPOOL 185 Litres Direct Cooling Single Door Refrigerator ( Cls  Plus Wine Linnea),200.0,25999.00
Samsung  253 Ltr Double Door Refrigerator (Rt28A/Im),3022.0,46000.00
Philips 32Pft4002  Led Tv -  (Black),,29999.00
SAMSUNG 192 Liters Single Door Refrigerator (RR20C20C/IM),2.0,27490.00
Hisense  RS-12DR4SA  Single Door Refrigerator,,17990.00
"UA55AU7700 - SAMSUNG 55 Inch Crystal 4K UHD AU7700 Series, HDR, Smart TV with Alexa Built-In (  )",,106480.00
Palsonic 24N  HD LED Tv,,13999.00
"SAMSUNG MC32K7056CB -  Convection Microwave With Hot Blast™, Slim Fry™, Masala Tadka & Sun Dry™",,41999.00
Baltra  Bmw-105 Carnival  Microwave Oven -Original,,11350.00
"TCL 55"" 4K UHD Google Certified Smart Android TV - 635",,79090.00
Samsung RT28A3022GS -  Frost Free Double Door Refrigerator (DIT) - Silver Color,,46000.00
CG  LED TV,,16789
Palsonic  Hd LED Tv,,13999.00
Whirlpool 185 Ltr Refrigerator 200 Genius CLS Plus  Grey - Z,,23990
GEM GRD-70HSWP  mini  Bar  () Direct Cool Single Door Refrigerator_ Hairline Silver,,15900
"Gem 50L Direct Cool Single Door Refrigerator (GRDN-, Dark Grey)",,15999.00
CG Refrigerator 170 Ltrs - CGD6.RF,,31489
Videocon  Ready Led Tv,,17999.00
Electron Elvo-38F Electric Oven  - (Black),,10500.00
"Videocon 55"" Bazelless  Uhd Android Smart Led Tv",,66999.00
BALTRA Elite Stand Water Dispenser Hot And Cold,,14800.00
IFB 30FRC2 -  Rotisserie Convection Microwave,,30255.00
KONKA 43 Inch Android Smart HD LED TV (KE2023),,42000.00
SAMSUNG RR20T282ZU8  Direct Cooling Digital Inverter Single Door Refrigerator With Base Stand (Saffron Red),,35500.00
"SAMSUNG 55"" Crystal UHD 4K Smart TV  UA7700",,99499.00
Samsung  253 Ltr Double Door Refrigerator (Rt28A/Im),3022.0,46500.00
